timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-10-14,121.0000,123.0300,119.6200,121.1900,121.1900,151062308,0.0000,1.0000
2020-10-13,125.2700,125.3900,119.6500,121.1000,121.1000,262330451,0.0000,1.0000
2020-10-12,120.0600,125.1800,119.2845,124.4000,124.4000,240226769,0.0000,1.0000
2020-10-09,115.2800,117.0000,114.9200,116.9700,116.9700,100506865,0.0000,1.0000
2020-10-08,116.2500,116.4000,114.5901,114.9700,114.9700,83477153,0.0000,1.0000
2020-10-07,114.6200,115.5500,114.1300,115.0800,115.0800,96848985,0.0000,1.0000
2020-10-06,115.7000,116.1200,112.2500,113.1600,113.1600,161498212,0.0000,1.0000
2020-10-05,113.9100,116.6500,113.5500,116.5000,116.5000,106243839,0.0000,1.0000
2020-10-02,112.8900,115.3700,112.2200,113.0200,113.0200,144711986,0.0000,1.0000
2020-10-01,117.6400,117.7200,115.8300,116.7900,116.7900,116120440,0.0000,1.0000
2020-09-30,113.7900,117.2600,113.6200,115.8100,115.8100,142675184,0.0000,1.0000
2020-09-29,114.5500,115.3100,113.5700,114.0900,114.0900,100060526,0.0000,1.0000
2020-09-28,115.0100,115.3200,112.7800,114.9600,114.9600,137672403,0.0000,1.0000
2020-09-25,108.4300,112.4400,107.6700,112.2800,112.2800,149981441,0.0000,1.0000
2020-09-24,105.1700,110.2500,105.0000,108.2200,108.2200,167743349,0.0000,1.0000
2020-09-23,111.6200,112.1100,106.7700,107.1200,107.1200,150718671,0.0000,1.0000
2020-09-22,112.6800,112.8600,109.1600,111.8100,111.8100,183055373,0.0000,1.0000
2020-09-21,104.5400,110.1900,103.1000,110.0800,110.0800,195713815,0.0000,1.0000
2020-09-18,110.4000,110.8800,106.0900,106.8400,106.8400,287104882,0.0000,1.0000
2020-09-17,109.7200,112.2000,108.7100,110.3400,110.3400,178010968,0.0000,1.0000
2020-09-16,115.2300,116.0000,112.0400,112.1300,112.1300,155026675,0.0000,1.0000
2020-09-15,118.3300,118.8290,113.6100,115.5400,115.5400,184642039,0.0000,1.0000
2020-09-14,114.7200,115.9300,112.8000,115.3550,115.3550,140150087,0.0000,1.0000
